uri,label_it,notation
AIBTM001,A corto di libri,
AIBTM002,Accademia Valdarnese del Poggio,
AIBTM003,Accordi Rickards,
AIBTM004,Accreditamento,
AIBTM005,acnp,
AIBTM006,acquisizioni,
AIBTM007,advocacy,
AIBTM008,Agenda 2030,
AIBTM009,AgID,
AIBTM010,AIB,
AIBTM011,AIB Campania,
AIBTM012,AIB Formazione,
AIBTM013,AIB Lazio,
AIBTM014,AIB Lombardia,
AIBTM015,aib notizie,
AIBTM016,Aldo Manuzio,
AIBTM017,Alessandra Ensoli,
AIBTM018,Alternanza scuola lavoro,
AIBTM019,ANAI,
AIBTM020,Anna Maria Vichi Giorgetti,
AIBTM021,Anno europeo delle competenze,
AIBTM022,Aperitivo in biblioteca,
AIBTM023,apprendimenti informali,
AIBTM024,approval plan,
AIBTM025,Archivi,
AIBTM026,Archivi d'autore,
AIBTM027,Archivi dell'arte,
AIBTM028,Archivi delle biblioteche,
AIBTM029,archivi di persona,
AIBTM030,Archivi e Biblioteche,
AIBTM031,Archivi personali,
AIBTM032,arte,
AIBTM033,Arturo Santorio,
AIBTM034,ASVIS,
AIBTM035,attestazione competenze,
AIBTM036,Aversa,
AIBTM037,Banche dati,
AIBTM038,Bando pubblico,
AIBTM039,beni culturali,
AIBTM040,BIBLAB,
AIBTM041,Bibliografie,
AIBTM042,BiblioHUB,
AIBTM043,bibliologia,
AIBTM044,Bibliometria,
AIBTM045,Bibliopride,
AIBTM046,BiblioPride,
AIBTM047,biblioteca,
AIBTM048,biblioteca AIB,
AIBTM049,Biblioteca civica Villa Valle di Valdagno,
AIBTM050,Biblioteca del MIUR,
AIBTM051,Biblioteca della Villa dei Papiri,
AIBTM052,Biblioteca di Amatrice,
AIBTM053,Biblioteca di Materiali,
AIBTM054,biblioteca digitale,
AIBTM055,Biblioteca FS,
AIBTM056,Biblioteca nazionale centrale di Firenze,
AIBTM057,Biblioteca nazionale di Napoli,
AIBTM058,Biblioteca nel Salone,
AIBTM059,Biblioteca Poggiana,
AIBTM060,biblioteca pubblica,
AIBTM061,biblioteca social,
AIBTM062,biblioteca sociale,
AIBTM063,Biblioteca Universitaria di Napoli (BUN),
AIBTM064,bibliotecari scolastici,
AIBTM065,bibliotecario,
AIBTM066,Bibliotecario scolastico,
AIBTM067,Biblioteche,
AIBTM068,Biblioteche carcerarie,
AIBTM069,Biblioteche d'autore,
AIBTM070,Biblioteche dell’Università,
AIBTM071,Biblioteche delle università,
AIBTM072,Biblioteche digitali,
AIBTM073,Biblioteche e periferie,
AIBTM074,Biblioteche oggi,
AIBTM075,Biblioteche per ragazzi,
AIBTM076,Biblioteche personali,
AIBTM077,Biblioteche pubbliche,
AIBTM078,Biblioteche pubbliche Bologna,
AIBTM079,Biblioteche pubbliche Maremma,
AIBTM080,biblioteche scolastiche,
AIBTM081,Biblioteche speciali,
AIBTM082,biblioteconomia,
AIBTM083,blended learning,
AIBTM084,Borgate romane,
AIBTM085,carta delle collezioni,
AIBTM086,cartografia,
AIBTM087,catalogazione,
AIBTM088,Centro Italiano Ricerche Aerospaziali,
AIBTM089,Cinema,
AIBTM090,Cinematografia,
AIBTM091,cloud computing,
AIBTM092,codice deontologico,
AIBTM093,Coesione sociale,
AIBTM094,Collaborazione,
AIBTM095,collane,
AIBTM096,Collezioni speciali,
AIBTM097,colonialismo,
AIBTM098,Community center,
AIBTM099,Competenze,
AIBTM100,competenze digitali,
AIBTM101,Competenze professionali,
AIBTM102,Comunicazione,
AIBTM103,comunicazione digitale,
AIBTM104,comunità,
AIBTM105,concorso,
AIBTM106,Concorso di lettura,
AIBTM107,Condivisione di esperienze,
AIBTM108,Congresso AIB,
AIBTM109,conoscenza,
AIBTM110,conservazione,
AIBTM111,Consulenze esterne,
AIBTM112,CONTINGENCY PLAN,
AIBTM113,Convenzione di Faro,
AIBTM114,cooperazione europea,
AIBTM115,Corona Cinematografica,
AIBTM116,cortometraggi,
AIBTM117,COVID 19,
AIBTM118,Covid-19,
AIBTM119,Covisd 19,
AIBTM120,cultura,
AIBTM121,cultura del libro,
AIBTM122,cultura digitale,
AIBTM123,DarwinBooks,
AIBTM124,DDC,
AIBTM125,Definizione obiettivi,
AIBTM126,DFP,
AIBTM127,dibattito,
AIBTM128,digitalizzazione,
AIBTM129,dimensione sociale della biblioteca,
AIBTM130,Diritti digitali,
AIBTM131,diritto autore,
AIBTM132,Diritto d'autore,
AIBTM133,Documentari,
AIBTM134,Documentazione,
AIBTM135,Documentazione di fonte pubblica,
AIBTM136,Donazioni,
AIBTM137,e-book,
AIBTM138,e-learning,
AIBTM139,EBLIDA,
AIBTM140,Editoria per ragazzi,
AIBTM141,EDUG,
AIBTM142,EDUOPEN,
AIBTM143,Elenchi professionisti beni culturali,
